,Date,Time,In_Temperature,In_Humidity,SB-51-00,SP-11-00,SP-19-01,TGS2602-B00,TGS2620-C00,SP-31-00,SP3S-AQ2-01
0,08/01/2021,14:16:35,23.90293990488542,34.200096640472026,0,0,0,0,0,0,0
1,08/01/2021,14:36:35,24.364728770885776,33.51613641565576,0,0,0,0,0,0,0
2,08/01/2021,14:56:35,24.537053991505815,33.230792706187536,0,0,0,0,0,0,0
3,08/01/2021,15:16:35,24.62561989776457,33.072760102744084,0,0,0,0,0,0,0
4,08/01/2021,15:36:35,24.682319879962368,32.97581445029373,0,0,0,0,0,0,0
5,08/01/2021,15:56:35,24.714630858828613,32.87495231555657,0,0,0,0,0,0,0
6,08/01/2021,16:16:35,24.748989089799338,32.80613412680246,0.17367215016023207,0.052117271478712035,0.06533723180222809,0.4358836563406075,1.2942059880970556,0.2603238333587671,1.5613366946436738
7,08/01/2021,16:36:35,24.776226443884948,32.72851656875461,0.17287832748359522,0.055655095376163755,0.06599979246146799,0.4337459606287197,1.298043839462842,0.26084888142835355,1.5659871204028686
8,08/01/2021,16:56:35,24.80515500623077,32.64637216754406,0.1707843857775071,0.05784279566610728,0.06639357851365779,0.43396473065771407,1.3006753303830314,0.26123016633602936,1.568587358461774
9,08/01/2021,17:16:35,24.820286869611657,32.57511253528649,0.16938425759194198,0.06053054173660932,0.06681236685487559,0.4330959011139936,1.3033318235922482,0.2615176926598506,1.572037674347629
10,08/01/2021,17:36:35,24.83132422878361,32.518450700643434,0.16831540973599912,0.06315578208454153,0.06725615748512138,0.43224582328704414,1.3065821211658788,0.2618552235617276,1.5760692934533802
11,08/01/2021,17:56:35,24.85072861829556,32.42847333485924,0.1665840012208153,0.06507470776743474,0.0674249229360599,0.43225207385930126,1.308388536548147,0.2620052372958951,1.578519517778117
12,08/01/2021,18:16:35,24.872803336639446,32.38325576663869,0.16572767282160905,0.06712489546772438,0.06763744239279729,0.4321145612696475,1.3113200549366708,0.2622115061803755,1.5815635464672666
13,08/01/2021,18:36:35,24.875384654510302,32.352025635156785,0.1654964016481002,0.06897506485579152,0.06775620326567988,0.43160201434457507,1.3139202929955751,0.26236777048680004,1.5838887593468638
14,08/01/2021,18:56:35,24.87858904910861,32.33488466722617,0.16515887074622349,0.07066271936517621,0.06784996184953458,0.4314645017549214,1.3162830093087146,0.26254903708225247,1.585707675873647
15,08/01/2021,19:16:35,24.87698685180946,32.28905673812975,0.16465882496566442,0.07226911643522083,0.06796247215016028,0.43107696627498865,1.3177581443613622,0.26258654051579433,1.5866640134289638
16,08/01/2021,19:36:35,24.88045827929096,32.22293430991074,0.16407752174576595,0.07371924919884054,0.06809998473981389,0.430526915916374,1.318126928124524,0.26272405310544794,1.5868702823134437
17,08/01/2021,19:56:35,24.881437399862666,32.15762569619287,0.16368998626583275,0.07454432473676198,0.06821874561269649,0.4301143781474132,1.3168268090950712,0.26273655424996195,1.585107620936976
18,08/01/2021,20:16:35,24.889537397319486,32.089672185346245,0.16436504806958618,0.0753631497024263,0.0682875019075233,0.4295268243552573,1.3162455058751723,0.26274905539447596,1.5843950556996793
19,08/01/2021,20:36:35,24.882772564278625,32.052287581699346,0.16455256523729433,0.07594445292232588,0.0682562490462384,0.429720592095224,1.3158704715397533,0.26274280482221896,1.5832199481153677
20,08/01/2021,20:56:35,24.890071463085874,32.054016937514305,0.16591518998931765,0.07628823439645982,0.06823749732946739,0.42940181291011753,1.316101742713262,0.26274280482221896,1.5824698794445302
21,08/01/2021,21:16:35,24.896213219399307,32.08209353780422,0.1679903799786362,0.07645074927514106,0.06811873645658478,0.4293330566152907,1.3161767495803458,0.26272405310544794,1.581113505264764
22,08/01/2021,21:36:35,24.89808244958165,32.09521629663538,0.16873419807721524,0.07674452617121874,0.06803747901724409,0.4294705692049445,1.3164205218983682,0.2626990508164201,1.5797571310850005
23,08/01/2021,21:56:35,24.88063630121308,32.11637547366547,0.16972803906607714,0.07746334198077232,0.06807498245078598,0.428870514268274,1.3175393743323673,0.2626990508164201,1.5796508713566313
24,08/01/2021,22:16:35,24.88366267388927,32.135754431474275,0.1698968045170144,0.07799464062261552,0.06804372958950108,0.42856423622768186,1.3182081855638639,0.2626677979551352,1.5789633084083625
25,08/01/2021,22:36:35,24.867640700897724,32.1449098446123,0.17009057225698232,0.07879471387150938,0.06803747901724409,0.4279766824355257,1.319445798870747,0.26274280482221896,1.5793820967495809
26,08/01/2021,22:56:35,24.85500114442664,32.16678110933089,0.17088439493361873,0.07932601251335258,0.06796247215016028,0.42803293758583855,1.3199270929345344,0.2626865496719061,1.5781007294368985
27,08/01/2021,23:16:35,24.8407593906564,32.18122631672642,0.17202824965664565,0.07987606287196714,0.06784371127727769,0.42766415382267614,1.3202208698306126,0.26262404394933625,1.577250651609951
28,08/01/2021,23:36:35,24.821889066910806,32.21286335545891,0.17381591332214263,0.08045111551960926,0.06773745154890899,0.42710160231954813,1.3202583732641544,0.2625615382267665,1.5760442911643522
29,08/01/2021,23:56:35,24.810050609089284,32.21484702830548,0.1754348115366997,0.08096366244468178,0.06756243552571349,0.4270203448802075,1.320170865252557,0.2625552876545095,1.5749316893026104
30,09/01/2021,00:16:35,24.805778082958213,32.22618956791536,0.17781627956661117,0.08163872424843588,0.06744992522508779,0.4267140668396157,1.3202771249809253,0.26248028078742563,1.574156618342744
31,09/01/2021,00:36:35,24.788955011317107,32.27369598942042,0.18011023958492345,0.0821575217457654,0.06721240347932249,0.4262515244925988,1.320014600946132,0.26237402105905694,1.5727627407294364
