,Date,Time,In_Temperature,In_Humidity,Out_Temperature,Out_Humidity,SB-51-00,SP-11-00,SP-19-01,TGS2602-B00,TGS2620-C00,SP-31-00,SP3S-AQ2-01
0,02/06/2021,00:16:38,39.773416240685634,23.71709773403524,29.234830729166667,32.8218132638398,0.0008156996795372073,0.003903482374484568,0.00024689760415080864,0.08591099038608269,0.0023720921715240095,0.00010625972836870307,0.0026439920647030046
1,02/06/2021,00:36:38,39.69642175936522,23.720098675008263,29.150911458333333,32.90851133738495,9.375858385674007e-06,0.0001468884480391175,3.437814741348577e-05,0.0013407477491224062,0.0003094033267205809,3.750343354189112e-05,0.00015001373416745345
2,02/06/2021,00:56:38,39.6191602451616,23.735510287123937,29.03166015624999,33.02233612694157,0.0003594079047757326,0.0018814222493512833,0.00010938501449719862,0.03732216694643675,0.0011376041507713541,4.687929192735002e-05,0.001403253471692345
3,02/06/2021,01:16:38,39.54866356399888,23.733628341090004,28.94391276041665,33.11139260924641,0.0003594079047761767,0.0018814222493512833,0.00010938501449719862,0.03732216694643675,0.0011376041507713541,4.687929192735002e-05,0.001403253471692567
4,02/06/2021,01:36:38,39.47727677322551,23.7465985097022,28.808046875,33.15953023055495,0.0012188615901109756,0.0038878559438424443,0.0002250206012513467,0.05604575614222507,0.0026189897756752067,0.00010625972836869613,0.002878388524340192
5,02/06/2021,01:56:38,39.38123394623737,23.7589074540322,28.697734375,33.102862487040326,0.00034690676026283285,0.0019408026857929972,0.00012501144513960005,0.027693160384556825,0.0011251030062569,6.563100869835109e-05,0.0016689027926142241
6,02/06/2021,02:16:38,39.342603189135566,23.72020040182091,28.76917968750001,33.15031915948671,0.00034690676026283285,0.0019408026857929972,0.00012501144513960005,0.027693160384556825,0.0011251030062569,6.563100869835109e-05,0.0016689027926144462
7,02/06/2021,02:36:38,39.31848121868722,23.669336995498597,28.650117187499983,33.3425980742288,0.0004625423470168144,0.0018814222493517274,0.00010938501449714311,0.02073627346253637,0.001390752327178335,5.9380436441297535e-05,0.0015282649168320006
8,02/06/2021,02:56:38,39.25145596500598,23.67330434119173,28.585345052083337,33.35697936722185,0.0004625423470163703,0.0018814222493517274,0.00010938501449715698,0.02073627346253648,0.001390752327178335,5.9380436441304474e-05,0.0015282649168320006
9,02/06/2021,03:16:38,39.17188016581471,23.693700567126974,28.44366536458332,33.45337963571066,0.0005125469250724102,0.0018220418129102356,0.00011876087288265058,0.16795287654509386,0.0015157637723179906,6.250572256980003e-05,0.0012626155959103436
10,02/06/2021,03:36:38,39.101294473690906,23.689885811652804,28.372220052083332,33.57388356719444,0.005212977262321061,0.0032440470013732625,0.00028752632382120225,0.3694369479627651,0.0024064703189372594,8.125743934075252e-05,0.004787938348847165
11,02/06/2021,03:56:38,39.10316370387325,23.602960250247968,28.303138020833323,33.58387140983819,0.005212977262321505,0.0032440470013734846,0.00028752632382120225,0.3694369479627651,0.0024064703189372594,8.125743934075252e-05,0.004787938348847165
12,02/06/2021,04:16:38,39.08918898298621,23.55738663818316,28.20924479166667,33.691875227714604,0.006488094002746081,0.0013813764687933272,0.00020001831222345168,0.374187382878071,0.005569259880970456,0.00011251030062570111,0.005075464672668506
13,02/06/2021,04:36:38,38.99074286004933,23.581495892779945,28.11227864583333,33.862648258226905,0.0008750801159767008,0.0021970761483294243,0.00014376316191060112,0.0038378513657866507,0.0015438913474743465,6.250572256980003e-05,0.0017720372348546398
14,02/06/2021,04:56:38,38.81610335444165,23.67081203428194,27.98606770833334,34.03975423374541,0.0006344330840835077,0.0015720189226311465,2.187700289950356e-05,0.02459912711735085,0.001422005188463249,6.563100869825395e-05,0.0017407843735692818
15,02/06/2021,05:16:38,38.7018132804354,23.720047811601944,27.87571614583333,34.11191260212597,0.0013344971768654013,0.007091274225544897,0.0004094124828322443,0.048191912101327644,0.004512913169540944,0.00023752174576530116,0.005994298794444353
16,02/06/2021,05:36:38,38.59437705043107,23.749599450675216,27.752858072916663,34.15969661584918,0.0006719365176248715,0.0023283381657250857,0.00012188615901115307,0.00340031130779795,0.0013813764687928831,9.375858385470004e-05,0.0020251854112613987
17,02/06/2021,05:56:38,38.494684774039314,23.779557996999067,27.670976562499995,34.33315935940678,0.0006719365176248715,0.0023283381657253077,0.00012188615901115307,0.00340031130779795,0.0013813764687928831,9.375858385470004e-05,0.0020251854112616208
18,02/06/2021,06:16:38,38.38493425904732,23.83128608122886,27.544160156249987,34.39601362186616,0.0001500137341676755,0.00029065160995012107,6.250572256974452e-05,0.0041378788341218005,0.00023439645963652112,6.250572256998044e-06,0.0009469616969328687
19,02/06/2021,06:36:38,38.30660461331096,23.837847460644443,27.45697265625001,34.516290896655136,0.000568802075385122,0.002518980619564015,0.00014063787578209863,0.007069397222646151,0.001118852433999784,8.750801159775057e-05,0.0024627254692506373
20,02/06/2021,06:56:38,38.2021947559828,23.872790620787885,27.39822265625001,34.55789618961194,0.0005688020753846779,0.0025189806195642372,0.00014063787578209863,0.00706939722264615,0.001118852433999784,8.750801159775057e-05,0.0024627254692506373
21,02/06/2021,07:16:38,38.110869509931085,23.89659469494672,27.288554687499992,34.65716162311195,0.000865704257592359,0.002003308408362603,0.00010938501449719862,0.004262890279261397,0.0013532488936365272,5.9380436441297535e-05,0.0015407660613460106
22,02/06/2021,07:36:38,38.04455634393835,23.906818239617515,27.21216796875001,34.71741830467037,0.0008657042575928031,0.002003308408362603,0.00010938501449719862,0.0042628902792614005,0.0013532488936363052,5.9380436441304474e-05,0.0015407660613457885
