In_Temperature,In_Humidity,Out_Temperature,Out_Humidity,SP-19-01
35.22477811,28.92830803,30.90582031,40.14899067,0.121142341
35.21534295,29.00170392,30.82921224,40.54037976,0.120954824
35.22629129,29.04692149,30.73998698,41.46083209,0.12047978
35.22406602,29.11889321,30.60341146,42.1981181,0.119942231
35.21632207,29.18140434,30.33734375,42.68576058,0.119479689
35.2189924,29.23852394,30.21878255,42.97131162,0.118710868
35.20225834,29.32611073,30.10022786,43.12178459,0.117923296
35.20323746,29.37687241,29.94365234,43.39593598,0.117098221
35.21213855,29.4206658,29.81511719,43.46006847,0.116085628
35.19834185,29.49233234,29.65787109,43.57211199,0.115185546
35.18908471,29.55886168,29.59531901,43.50018689,0.114285463
35.19050889,29.60306198,29.52591797,43.41056268,0.113285372
35.18988581,29.63413952,29.34809896,43.49108137,0.112366537
35.18285395,29.67940795,29.34176432,43.20583906,0.11141645
35.15125505,29.75199003,29.24426432,43.13154218,0.110697635
35.17350779,29.75448234,29.14662109,43.10878698,0.109897561
35.17689021,29.78449175,29.09912109,42.99154852,0.10889747
35.15508253,29.82314794,29.00166016,43.04854911,0.108003638
35.15917703,29.8465451,28.88139974,43.19971972,0.107241068
35.14555835,29.88749015,28.74759766,43.32894169,0.106472248
35.16665395,29.87614761,28.73729818,43.3535742,0.105684676
35.14244297,29.9235523,28.67666016,43.41701808,0.105115874
35.13550011,29.94567788,28.63348307,43.57337706,0.104490816
35.1411078,29.9448132,28.56856771,43.61172238,0.103809504
35.14609242,29.96139467,28.56203776,43.70916464,0.103271955
35.12303858,30.0134788,28.50599609,43.84787211,0.102753157
35.14101879,30.01571679,28.41570964,44.12400317,0.102271863
35.15232319,30.01734442,28.37459635,44.15344982,0.101496792
35.13995066,30.0546273,28.36899089,44.11360146,0.101703061
35.15739681,30.05279622,28.40013021,44.15245844,0.10136553
37.59175759,27.16802726,28.5740625,43.90110288,0.091783403
39.04966812,25.68459602,28.75,43.57319093,0.087558016
39.44808118,25.30195061,28.66313802,44.14186531,0.085370316
39.56913609,25.20113934,28.55691406,44.11131199,0.084145204
39.59299102,25.19625645,28.51115885,44.1711773,0.083357632
39.59414817,25.21904326,28.5433724,44.17801913,0.082701322
39.53184049,25.30291702,28.47330078,44.61334812,0.082276283
39.54154269,25.33562219,28.51098307,44.49561132,0.08192
39.58088553,25.31527682,28.52776042,44.15363182,0.081638724
39.50033061,25.40230411,28.55125651,43.45626869,0.081282442
39.39431856,25.51186389,28.37751953,43.0348988,0.080994915
39.27807024,25.62381425,28.27628255,42.38995906,0.080544874
39.37331197,25.52849622,28.6079362,41.94194281,0.08038861
39.5246306,25.36222375,28.92249349,41.08277164,0.080226095
39.65325144,25.22250197,28.99361328,40.34964584,0.080094833
39.75160856,25.10627909,29.07276693,39.6355568,0.079888564
39.69419649,25.14549477,28.73885417,38.18471329,0.079263507
39.71680527,25.08547595,29.12141927,38.1903969,0.079369767
39.78961624,24.98252842,29.22490885,37.34563765,0.079482277
39.87907225,24.8648305,29.35307292,37.09486747,0.079219753
39.96078431,24.75374482,29.38455729,36.8134254,0.079125994
40.00475573,24.67566949,29.57788411,36.51087926,0.079100992
39.98054475,24.65379822,29.53826172,35.44719256,0.079119744
40.01828539,24.58253859,29.66302083,35.07910654,0.079007233
39.94556344,24.59657689,29.75757161,35.52320215,0.079326013
40.00849419,24.50720989,29.8230013,34.78262039,0.079219753
39.88824038,24.57592635,29.91550781,34.56850616,0.079557284
40.02193484,24.38422217,29.81839193,34.35038754,0.07951353
39.9541975,24.39576816,29.97207031,34.60417826,0.079182249
40.02789858,24.28361435,29.97619141,34.01708164,0.079088491
39.76709646,24.47048651,29.89084635,33.05320887,0.079563534
40.02629638,24.1456728,30.00632812,33.27352769,0.078907224
40.00537881,24.0931309,30.0016862,33.0953833,0.078663452
40.00911727,24.03499402,30.03873047,32.39981429,0.078469684
39.92046235,24.05564457,30.02636719,32.56634982,0.078382176
40.00867221,23.93169045,29.94809245,32.91600615,0.078113401
39.82219425,24.03626561,29.80673177,32.9195207,0.078119652
40.01249968,23.78662801,29.82747396,33.61491723,0.077582103
39.98116782,23.77320007,29.69173828,33.29715727,0.077375834
39.99923705,23.70122835,29.50792318,32.65413132,0.076875788
39.93603927,23.68678314,29.42039062,32.70003835,0.076713273
39.86296127,23.70275425,29.31039714,32.6730422,0.076450749
39.77341624,23.71709773,29.23483073,32.82181326,0.076213228
39.69642176,23.72009868,29.15091146,32.90851134,0.075931952
39.61916025,23.73551029,29.03166016,33.02233613,0.075719432
39.54866356,23.73362834,28.94391276,33.11139261,0.075500662
39.47727677,23.74659851,28.80804688,33.15953023,0.075181883
39.38123395,23.75890745,28.69773437,33.10286249,0.074981865
39.34260319,23.7202004,28.76917969,33.15031916,0.074731842
39.31848122,23.669337,28.65011719,33.34259807,0.074519322
39.25145597,23.67330434,28.58534505,33.35697937,0.074300552
39.17188017,23.69370057,28.44366536,33.45337964,0.07405678
39.10129447,23.68988581,28.37222005,33.57388357,0.073819258
