@relation 'Garbage Smell'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute SB-51-00 numeric
@attribute SP-11-00 numeric
@attribute SP-19-01 numeric
@attribute TGS2602-B00 numeric
@attribute TGS2620-C00 numeric
@attribute SP-31-00 numeric
@attribute SP3S-AQ2-01 numeric
@attribute Average {'1','2','3','4','5','6','7','8','9','10'}
@data
25.14891534,51.28923476,0.145357058,0.209781706,0.067356167,2.922698831,0.257029782,0.188423501,0.188898544,3
25.14571094,51.25490196,0.136349983,0.195024105,0.064087117,2.946257238,0.279269318,0.190504941,0.177478749,3
25.13333842,51.37865263,0.138006385,0.187410908,0.063624575,2.978928979,0.293758144,0.191492532,0.173684651,3
25.13921314,51.57590092,0.151357607,0.186510826,0.067193652,2.995011702,0.288657677,0.190448686,0.188986052,3
25.15087358,51.56226953,0.158283241,0.181279097,0.069993908,3.00286242,0.294376951,0.19049244,0.191536286,3
25.14918237,51.5944152,0.159520855,0.176222384,0.070750227,3.017288741,0.298727349,0.190667456,0.194399048,3
25.15941863,51.53404033,0.158864544,0.169384258,0.070762729,3.025927032,0.307196875,0.191392523,0.191730053,3
25.12060985,51.60041708,0.15980213,0.163783745,0.071856579,3.030471198,0.313872486,0.191642545,0.192086336,3
25.14268457,51.51288116,0.160627206,0.158370749,0.071637809,3.037965634,0.318754183,0.192261352,0.190979985,3
25.13413952,51.4986394,0.159077064,0.152751485,0.071287777,3.04283483,0.324929748,0.192761398,0.189742371,3
25.1477582,51.43211007,0.158652025,0.147701022,0.070675221,3.050573038,0.329017622,0.193342701,0.189148567,3
25.12924392,51.4424862,0.157789446,0.142744319,0.07033769,3.05517971,0.334299356,0.19376774,0.188554763,3
25.16182193,51.32748404,0.157789446,0.137937629,0.069918901,3.060005152,0.339124798,0.194355294,0.186035782,3
25.14232853,51.3197528,0.160114659,0.133680989,0.070300186,3.066399487,0.341231241,0.194486556,0.188298489,3
25.14553292,51.2635996,0.16077722,0.129243083,0.070143922,3.073431381,0.344225265,0.194905344,0.18885479,3
25.13227029,51.27946899,0.161177256,0.125442735,0.07001891,3.078488094,0.345837912,0.19519287,0.190023647,3
25.14820325,51.20200402,0.160958486,0.120967325,0.069375101,3.084544899,0.349650761,0.195705417,0.189736121,3
25.13663183,51.20632741,0.160495944,0.117485756,0.068975065,3.091695553,0.350582097,0.195936689,0.192198846,3
25.12684062,51.18633809,0.161383525,0.113835422,0.068868805,3.096589751,0.35301982,0.196224215,0.192848906,3
25.11313293,51.165891,0.160864728,0.110053826,0.06870004,3.100752632,0.355770072,0.196555495,0.19322394,3
25.14161644,51.04931207,0.159889638,0.106022207,0.067743702,3.105446812,0.359526666,0.197136798,0.191317516,3
25.12808677,51.07565932,0.159814631,0.102746907,0.067681196,3.109634696,0.361714366,0.197324316,0.192867658,3
25.14998347,50.98237583,0.161139753,0.099802887,0.067237406,3.115678999,0.362276917,0.197730603,0.193930255,3
25.14446479,50.9329366,0.161308518,0.095958785,0.067106144,3.11864177,0.366196026,0.198005628,0.193298947,3
25.15968566,50.85562422,0.163083681,0.093202283,0.06695613,3.124304789,0.366071015,0.198193145,0.195780424,3
25.12212304,50.90043488,0.165571409,0.090727056,0.067406171,3.130055315,0.36547096,0.198199396,0.200293337,3
25.1364538,50.79189237,0.16417128,0.086782945,0.066687355,3.131836728,0.370633933,0.198836954,0.196630502,3
