@relation 'Sensor Response'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute TGS2620-C00 numeric
@data
35.22477811,28.92830803,30.90582031,40.14899067,1.488555031
35.21534295,29.00170392,30.82921224,40.54037976,1.490530212
35.22629129,29.04692149,30.73998698,41.46083209,1.491155269
35.22406602,29.11889321,30.60341146,42.1981181,1.492236618
35.21632207,29.18140434,30.33734375,42.68576058,1.493699252
35.2189924,29.23852394,30.21878255,42.97131162,1.493555489
35.20225834,29.32611073,30.10022786,43.12178459,1.494230551
35.20323746,29.37687241,29.94365234,43.39593598,1.49541816
35.21213855,29.4206658,29.81511719,43.46006847,1.495961959
35.19834185,29.49233234,29.65787109,43.57211199,1.496393249
35.18908471,29.55886168,29.59531901,43.50018689,1.497012056
35.19050889,29.60306198,29.52591797,43.41056268,1.497637113
35.18988581,29.63413952,29.34809896,43.49108137,1.499043492
35.18285395,29.67940795,29.34176432,43.20583906,1.497437094
35.15125505,29.75199003,29.24426432,43.13154218,1.498605951
35.17350779,29.75448234,29.14662109,43.10878698,1.498687209
35.17689021,29.78449175,29.09912109,42.99154852,1.49793714
35.15508253,29.82314794,29.00166016,43.04854911,1.497762124
35.15917703,29.8465451,28.88139974,43.19971972,1.498787218
35.14555835,29.88749015,28.74759766,43.32894169,1.498930981
35.16665395,29.87614761,28.73729818,43.3535742,1.498955984
35.14244297,29.9235523,28.67666016,43.41701808,1.498987236
35.13550011,29.94567788,28.63348307,43.57337706,1.498949733
35.1411078,29.9448132,28.56856771,43.61172238,1.498380931
35.14609242,29.96139467,28.56203776,43.70916464,1.49869971
35.12303858,30.0134788,28.50599609,43.84787211,1.498630954
35.14101879,30.01571679,28.41570964,44.12400317,1.497993395
35.15232319,30.01734442,28.37459635,44.15344982,1.497155819
35.13995066,30.0546273,28.36899089,44.11360146,1.497768375
35.15739681,30.05279622,28.40013021,44.15245844,1.499124749
37.59175759,27.16802726,28.5740625,43.90110288,1.492330377
39.04966812,25.68459602,28.75,43.57319093,1.488455022
39.44808118,25.30195061,28.66313802,44.14186531,1.484617171
39.56913609,25.20113934,28.55691406,44.11131199,1.482704496
39.59299102,25.19625645,28.51115885,44.1711773,1.481085597
39.59414817,25.21904326,28.5433724,44.17801913,1.479385442
39.53184049,25.30291702,28.47330078,44.61334812,1.47805407
39.54154269,25.33562219,28.51098307,44.49561132,1.47674145
39.58088553,25.31527682,28.52776042,44.15363182,1.47631016
39.50033061,25.40230411,28.55125651,43.45626869,1.474816273
39.39431856,25.51186389,28.37751953,43.0348988,1.471697238
39.27807024,25.62381425,28.27628255,42.38995906,1.467103067
39.37331197,25.52849622,28.6079362,41.94194281,1.467878138
39.5246306,25.36222375,28.92249349,41.08277164,1.469215761
39.65325144,25.22250197,28.99361328,40.34964584,1.469965829
39.75160856,25.10627909,29.07276693,39.6355568,1.469447032
39.69419649,25.14549477,28.73885417,38.18471329,1.47751027
39.71680527,25.08547595,29.12141927,38.1903969,1.475378825
39.78961624,24.98252842,29.22490885,37.34563765,1.474553749
39.87907225,24.8648305,29.35307292,37.09486747,1.472872345
39.96078431,24.75374482,29.38455729,36.8134254,1.471653484
40.00475573,24.67566949,29.57788411,36.51087926,1.470403369
39.98054475,24.65379822,29.53826172,35.44719256,1.469672052
40.01828539,24.58253859,29.66302083,35.07910654,1.467746876
39.94556344,24.59657689,29.75757161,35.52320215,1.467890639
40.00849419,24.50720989,29.8230013,34.78262039,1.466340497
39.88824038,24.57592635,29.91550781,34.56850616,1.466140479
40.02193484,24.38422217,29.81839193,34.35038754,1.457008393
39.9541975,24.39576816,29.97207031,34.60417826,1.464709098
40.02789858,24.28361435,29.97619141,34.01708164,1.4625464
39.76709646,24.47048651,29.89084635,33.05320887,1.454164383
40.02629638,24.1456728,30.00632812,33.27352769,1.451851671
40.00537881,24.0931309,30.0016862,33.0953833,1.450557803
40.00911727,24.03499402,30.03873047,32.39981429,1.449026412
39.92046235,24.05564457,30.02636719,32.56634982,1.447401264
40.00867221,23.93169045,29.94809245,32.91600615,1.445488588
39.82219425,24.03626561,29.80673177,32.9195207,1.444651012
40.01249968,23.78662801,29.82747396,33.61491723,1.442238291
39.98116782,23.77320007,29.69173828,33.29715727,1.441081935
39.99923705,23.70122835,29.50792318,32.65413132,1.438556704
39.93603927,23.68678314,29.42039062,32.70003835,1.436318999
39.86296127,23.70275425,29.31039714,32.6730422,1.433743763
39.77341624,23.71709773,29.23483073,32.82181326,1.431137275
39.69642176,23.72009868,29.15091146,32.90851134,1.429074586
39.61916025,23.73551029,29.03166016,33.02233613,1.42639309
39.54866356,23.73362834,28.94391276,33.11139261,1.424117882
39.47727677,23.74659851,28.80804688,33.15953023,1.421217616
39.38123395,23.75890745,28.69773437,33.10286249,1.418229843
39.34260319,23.7202004,28.76917969,33.15031916,1.415979637
39.31848122,23.669337,28.65011719,33.34259807,1.414041959
39.25145597,23.67330434,28.58534505,33.35697937,1.411260455
39.17188017,23.69370057,28.44366536,33.45337964,1.40902275
39.10129447,23.68988581,28.37222005,33.57388357,1.405991222
39.1031637,23.60296025,28.30313802,33.58387141,1.410804163
39.08918898,23.55738664,28.20924479,33.69187523,1.399665643
38.99074286,23.58149589,28.11227865,33.86264826,1.396577861
38.81610335,23.67081203,27.98606771,34.03975423,1.393752602
38.70181328,23.72004781,27.87571615,34.1119126,1.39121487
38.59437705,23.74959945,27.75285807,34.15969662,1.388083333
38.49468477,23.779558,27.67097656,34.33315936,1.38532058
38.38493426,23.83128608,27.54416016,34.39601362,1.382751595
38.30660461,23.83784746,27.45697266,34.5162909,1.379713817
38.20219476,23.87279062,27.39822266,34.55789619,1.377476112
38.11086951,23.89659469,27.28855469,34.65716162,1.374319573
38.04455634,23.90681824,27.21216797,34.7174183,1.371613075
38.07437502,23.80972,27.21901693,34.81247536,1.369137848
37.98322779,23.84384934,27.28959635,34.79884135,1.367131415
37.97405966,23.77681137,27.26048177,34.98153813,1.365206238
38.03948272,23.6572315,27.41654948,34.93465309,1.364406165
38.1196816,23.526716,27.46127604,35.0338457,1.362768515
38.11327281,23.47544569,27.58753255,35.12108432,1.361474647
38.13410137,23.40678009,27.60825521,35.29159017,1.360505808
38.18012004,23.31446301,27.7302474,35.55097456,1.358899411
38.23210244,23.23008062,27.82719401,35.54706397,1.357855565
38.22453651,23.19584955,27.70646484,36.02572596,1.356711711
38.26396836,23.12097861,27.83731771,35.95989635,1.356080403
38.2683299,23.08242415,27.73776042,36.02203089,1.355099063
38.28995956,23.03003484,27.96015625,35.72381318,1.35320514
38.36214745,22.93044429,28.00248047,35.77522385,1.352805103
38.4510694,22.81900257,28.20223958,35.86049669,1.351892519
38.56722871,22.69184405,28.23154948,35.53239832,1.352892611
38.68045065,22.55731034,28.36570964,34.89144335,1.352592584
38.79901325,22.42292922,28.48032552,34.23031609,1.353192638
38.91303629,22.27588312,28.69632812,34.32603879,1.352148793
39.03907581,22.15462476,28.76747396,34.08915483,1.352655089
39.13173622,22.04954096,28.67942057,33.61741889,1.351479982
39.22279444,21.93443707,28.94942057,33.37451404,1.351948775
39.31029221,21.8231988,28.93485026,33.27401906,1.350886177
39.40580097,21.70997686,29.10120443,33.21231391,1.351104947
39.52738994,21.57422243,29.22884766,33.05208331,1.351436228
39.6447954,21.45581242,29.45760417,32.78620011,1.351298715
39.78712393,21.30042471,29.40289714,31.42676374,1.35124246
39.9201063,21.13282979,29.37514323,30.24467117,1.350542396
40.01321177,21.01818367,29.79509115,30.05065866,1.350073603
40.02264693,20.97276265,29.96403646,30.40147909,1.34861722
40.01614913,20.95440096,30.1158138,31.14846774,1.349479799
40.00965133,20.92749421,30.05690104,31.28416049,1.348110923
39.92918542,20.9735256,30.17630859,30.68439991,1.347360855
40.01561507,20.87800412,30.25188151,30.65482563,1.346992071
39.93149971,20.90979375,30.31799479,29.74471078,1.346342011
40.02309199,20.80069174,30.41098958,29.42012848,1.345916972
39.90969202,20.86086315,30.41013672,29.82326197,1.34490438
40.01677221,20.74703085,30.46947917,29.01341394,1.344479341
39.91218433,20.78675517,30.51448568,28.9155236,1.343016707
40.02772056,20.66941329,30.53471354,28.52670322,1.342304142
39.90452939,20.72465095,30.52889974,28.77152428,1.340985271
40.02505023,20.58564126,30.49360026,28.89810664,1.339960177
39.91823707,20.62846825,30.59501953,28.89099532,1.338222518
40.03021286,20.50837975,30.61401693,28.89838662,1.337747474
39.90524147,20.57750312,30.57551432,29.43576571,1.336247337
40.02869968,20.45064978,30.54791667,29.42601952,1.335922307
39.89767554,20.53472699,30.49325521,29.36913126,1.334690945
40.02745352,20.39536126,30.44340495,30.266021,1.33519099
39.87408764,20.49937692,30.39164063,30.34860841,1.333534589
40.0207777,20.36011292,30.36749349,30.02115744,1.333803363
39.85975687,20.46122937,30.26886719,30.24011842,1.333322069
40.01196562,20.30609598,30.23042318,30.16456816,1.333284566
39.82548765,20.43681493,30.06201823,30.08708712,1.332009449
40.01570408,20.24724702,30.00889323,30.23786707,1.331509403
39.83981842,20.36474149,29.77865234,30.28366739,1.331103116
40.01828539,20.179853,29.75295573,30.28298073,1.329521721
39.96657003,20.20080873,29.61670573,30.32408108,1.329484218
40.01792935,20.12308944,29.61775391,30.50108643,1.328509129
40.00181837,20.10986496,29.61945964,30.51350123,1.32721526
39.98134585,20.10304926,29.56535807,31.20017496,1.326565201
39.95161618,20.10167595,29.45364583,31.09653248,1.326096408
39.89589532,20.13122759,29.39192708,31.15068339,1.325446348
39.82557666,20.17146054,29.29082682,31.26128441,1.323971213
39.74279647,20.19684138,29.18460937,31.44556597,1.323096133
39.6699855,20.23737952,29.07450521,31.65656952,1.322058538
39.58720531,20.2756288,29.00214844,31.79195994,1.320395886
39.50006358,20.3348338,28.89113281,32.04911753,1.320077107
39.42725261,20.3744564,28.7915625,32.30197127,1.317876905
39.34910099,20.41916533,28.71260417,32.81169143,1.317208094
39.27593398,20.4622975,28.66828776,33.07829909,1.316564285
39.19822741,20.51112637,28.57492187,33.63411802,1.315226663
39.13547468,20.55720862,28.51233724,34.06565587,1.314064056
39.08278019,20.59377941,28.48447266,34.48699947,1.313195227
39.0551868,20.62109305,28.28263672,36.06070015,1.312813942
38.87022202,20.77007197,28.00231771,36.96850375,1.311138788
38.7084891,20.92337428,27.96925781,37.48023032,1.310751253
38.65472648,20.98629231,27.98349609,37.59302077,1.311095034
38.66852318,21.00536609,28.08250651,37.53760759,1.310870014
38.68721548,21.00724804,28.17535807,37.79869276,1.311988866
38.72451108,21.00511177,28.2046224,37.72357316,1.312720183
38.7864627,20.96391241,28.42207031,37.51128305,1.313545259
38.80862643,20.97301696,28.29888021,37.79637954,1.314657861
