@relation 'Sensor Response'
@attribute ﻿In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute SP-11-00 numeric
@data
35.22477811,28.92830803,30.90582031,40.14899067,0.844233542
35.21534295,29.00170392,30.82921224,40.54037976,0.846640012
35.22629129,29.04692149,30.73998698,41.46083209,0.851552962
35.22406602,29.11889321,30.60341146,42.1981181,0.85743475
35.21632207,29.18140434,30.33734375,42.68576058,0.864216621
35.2189924,29.23852394,30.21878255,42.97131162,0.873361209
35.20225834,29.32611073,30.10022786,43.12178459,0.881543208
35.20323746,29.37687241,29.94365234,43.39593598,0.891919158
35.21213855,29.4206658,29.81511719,43.46006847,0.902963919
35.19834185,29.49233234,29.65787109,43.57211199,0.913577391
35.18908471,29.55886168,29.59531901,43.50018689,0.924653405
35.19050889,29.60306198,29.52591797,43.41056268,0.936379478
35.18988581,29.63413952,29.34809896,43.49108137,0.948918126
35.18285395,29.67940795,29.34176432,43.20583906,0.95966286
35.15125505,29.75199003,29.24426432,43.13154218,0.969188732
35.17350779,29.75448234,29.14662109,43.10878698,0.983433786
35.17689021,29.78449175,29.09912109,42.99154852,0.99625996
35.15508253,29.82314794,29.00166016,43.04854911,1.007310972
35.15917703,29.8465451,28.88139974,43.19971972,1.019018294
35.14555835,29.88749015,28.74759766,43.32894169,1.028831692
35.16665395,29.87614761,28.73729818,43.3535742,1.041732873
35.14244297,29.9235523,28.67666016,43.41701808,1.049871119
35.13550011,29.94567788,28.63348307,43.57337706,1.060503342
35.1411078,29.9448132,28.56856771,43.61172238,1.071173069
35.14609242,29.96139467,28.56203776,43.70916464,1.082305338
35.12303858,30.0134788,28.50599609,43.84787211,1.090531091
35.14101879,30.01571679,28.41570964,44.12400317,1.101594604
35.15232319,30.01734442,28.37459635,44.15344982,1.109626589
35.13995066,30.0546273,28.36899089,44.11360146,1.116795996
35.15739681,30.05279622,28.40013021,44.15245844,1.125440537
37.59175759,27.16802726,28.5740625,43.90110288,1.291005695
39.04966812,25.68459602,28.75,43.57319093,1.352142542
39.44808118,25.30195061,28.66313802,44.14186531,1.368962832
39.56913609,25.20113934,28.55691406,44.11131199,1.373800775
39.59299102,25.19625645,28.51115885,44.1711773,1.374219564
39.59414817,25.21904326,28.5433724,44.17801913,1.372994451
39.53184049,25.30291702,28.47330078,44.61334812,1.37145056
39.54154269,25.33562219,28.51098307,44.49561132,1.36959414
39.58088553,25.31527682,28.52776042,44.15363182,1.368537793
39.50033061,25.40230411,28.55125651,43.45626869,1.366281337
39.39431856,25.51186389,28.37751953,43.0348988,1.362468488
39.27807024,25.62381425,28.27628255,42.38995906,1.356880476
39.37331197,25.52849622,28.6079362,41.94194281,1.354480256
39.5246306,25.36222375,28.92249349,41.08277164,1.354317741
39.65325144,25.22250197,28.99361328,40.34964584,1.354617769
39.75160856,25.10627909,29.07276693,39.6355568,1.354442753
39.69419649,25.14549477,28.73885417,38.18471329,1.341810346
39.71680527,25.08547595,29.12141927,38.1903969,1.34009769
39.78961624,24.98252842,29.22490885,37.34563765,1.339897671
39.87907225,24.8648305,29.35307292,37.09486747,1.339503885
39.96078431,24.75374482,29.38455729,36.8134254,1.339910172
40.00475573,24.67566949,29.57788411,36.51087926,1.337072413
39.98054475,24.65379822,29.53826172,35.44719256,1.332853276
40.01828539,24.58253859,29.66302083,35.07910654,1.330328045
39.94556344,24.59657689,29.75757161,35.52320215,1.323077381
40.00849419,24.50720989,29.8230013,34.78262039,1.320414638
39.88824038,24.57592635,29.91550781,34.56850616,1.311338807
40.02193484,24.38422217,29.81839193,34.35038754,1.322046037
39.9541975,24.39576816,29.97207031,34.60417826,1.311970114
40.02789858,24.28361435,29.97619141,34.01708164,1.310301212
39.76709646,24.47048651,29.89084635,33.05320887,1.303281819
40.02629638,24.1456728,30.00632812,33.27352769,1.315945478
40.00537881,24.0931309,30.0016862,33.0953833,1.31247016
40.00911727,24.03499402,30.03873047,32.39981429,1.309569895
39.92046235,24.05564457,30.02636719,32.56634982,1.304075642
40.00867221,23.93169045,29.94809245,32.91600615,1.30646336
39.82219425,24.03626561,29.80673177,32.9195207,1.297968833
40.01249968,23.78662801,29.82747396,33.61491723,1.307107169
39.98116782,23.77320007,29.69173828,33.29715727,1.304669446
39.99923705,23.70122835,29.50792318,32.65413132,1.307594714
39.93603927,23.68678314,29.42039062,32.70003835,1.305869556
39.86296127,23.70275425,29.31039714,32.6730422,1.302512999
39.77341624,23.71709773,29.23483073,32.82181326,1.298687648
39.69642176,23.72009868,29.15091146,32.90851134,1.294931054
39.61916025,23.73551029,29.03166016,33.02233613,1.290880684
39.54866356,23.73362834,28.94391276,33.11139261,1.287117839
39.47727677,23.74659851,28.80804688,33.15953023,1.283061218
39.38123395,23.75890745,28.69773437,33.10286249,1.279167111
39.34260319,23.7202004,28.76917969,33.15031916,1.275285506
39.31848122,23.669337,28.65011719,33.34259807,1.272328985
39.25145597,23.67330434,28.58534505,33.35697937,1.268566141
39.17188017,23.69370057,28.44366536,33.45337964,1.264246995
39.10129447,23.68988581,28.37222005,33.57388357,1.260602912
39.1031637,23.60296025,28.30313802,33.58387141,1.254114818
39.08918898,23.55738664,28.20924479,33.69187523,1.256877571
38.99074286,23.58149589,28.11227865,33.86264826,1.252483418
38.81610335,23.67081203,27.98606771,34.03975423,1.246014076
38.70181328,23.72004781,27.87571615,34.1119126,1.241163632
38.59437705,23.74959945,27.75285807,34.15969662,1.236400696
38.49468477,23.779558,27.67097656,34.33315936,1.23174402
38.38493426,23.83128608,27.54416016,34.39601362,1.227256109
38.30660461,23.83784746,27.45697266,34.5162909,1.223349501
38.20219476,23.87279062,27.39822266,34.55789619,1.21831154
38.11086951,23.89659469,27.28855469,34.65716162,1.213804877
38.04455634,23.90681824,27.21216797,34.7174183,1.20979826
