@relation 'Sensor Response'
@attribute In_Temperature numeric
@attribute In_Humidity numeric
@attribute Out_Temperature numeric
@attribute Out_Humidity numeric
@attribute TGS2602-B00 numeric
@data
35.22477811,28.92830803,30.90582031,40.14899067,0.721816084
35.21534295,29.00170392,30.82921224,40.54037976,0.720959756
35.22629129,29.04692149,30.73998698,41.46083209,0.719797149
35.22406602,29.11889321,30.60341146,42.1981181,0.719328356
35.21632207,29.18140434,30.33734375,42.68576058,0.718784557
35.2189924,29.23852394,30.21878255,42.97131162,0.719865906
35.20225834,29.32611073,30.10022786,43.12178459,0.719790899
35.20323746,29.37687241,29.94365234,43.39593598,0.720253441
35.21213855,29.4206658,29.81511719,43.46006847,0.721797333
35.19834185,29.49233234,29.65787109,43.57211199,0.722878682
35.18908471,29.55886168,29.59531901,43.50018689,0.72450383
35.19050889,29.60306198,29.52591797,43.41056268,0.726704032
35.18988581,29.63413952,29.34809896,43.49108137,0.728847978
35.18285395,29.67940795,29.34176432,43.20583906,0.731316954
35.15125505,29.75199003,29.24426432,43.13154218,0.733085866
35.17350779,29.75448234,29.14662109,43.10878698,0.736798706
35.17689021,29.78449175,29.09912109,42.99154852,0.739798981
35.15508253,29.82314794,29.00166016,43.04854911,0.74263049
35.15917703,29.8465451,28.88139974,43.19971972,0.746162063
35.14555835,29.88749015,28.74759766,43.32894169,0.748806055
35.16665395,29.87614761,28.73729818,43.3535742,0.753043943
35.14244297,29.9235523,28.67666016,43.41701808,0.756406751
35.13550011,29.94567788,28.63348307,43.57337706,0.759282014
35.1411078,29.9448132,28.56856771,43.61172238,0.762813588
35.14609242,29.96139467,28.56203776,43.70916464,0.767013972
35.12303858,30.0134788,28.50599609,43.84787211,0.770339277
35.14101879,30.01571679,28.41570964,44.12400317,0.774277137
35.15232319,30.01734442,28.37459635,44.15344982,0.777652446
35.13995066,30.0546273,28.36899089,44.11360146,0.781815327
35.15739681,30.05279622,28.40013021,44.15245844,0.785046873
37.59175759,27.16802726,28.5740625,43.90110288,2.180687148
39.04966812,25.68459602,28.75,43.57319093,1.035007258
39.44808118,25.30195061,28.66313802,44.14186531,0.859922478
39.56913609,25.20113934,28.55691406,44.11131199,0.779902652
39.59299102,25.19625645,28.51115885,44.1711773,0.733104618
39.59414817,25.21904326,28.5433724,44.17801913,0.748218501
39.53184049,25.30291702,28.47330078,44.61334812,0.703045616
39.54154269,25.33562219,28.51098307,44.49561132,0.680574808
39.58088553,25.31527682,28.52776042,44.15363182,0.673474158
39.50033061,25.40230411,28.55125651,43.45626869,0.661016768
39.39431856,25.51186389,28.37751953,43.0348988,0.501452159
39.27807024,25.62381425,28.27628255,42.38995906,0.663979539
39.37331197,25.52849622,28.6079362,41.94194281,0.645234073
39.5246306,25.36222375,28.92249349,41.08277164,0.641396222
39.65325144,25.22250197,28.99361328,40.34964584,0.636558279
39.75160856,25.10627909,29.07276693,39.6355568,0.650165774
39.69419649,25.14549477,28.73885417,38.18471329,0.622306974
39.71680527,25.08547595,29.12141927,38.1903969,0.605905472
39.78961624,24.98252842,29.22490885,37.34563765,0.495551619
39.87907225,24.8648305,29.35307292,37.09486747,0.625576023
39.96078431,24.75374482,29.38455729,36.8134254,0.609462048
40.00475573,24.67566949,29.57788411,36.51087926,0.612512327
39.98054475,24.65379822,29.53826172,35.44719256,0.51817244
40.01828539,24.58253859,29.66302083,35.07910654,0.595817049
39.94556344,24.59657689,29.75757161,35.52320215,0.374721807
40.00849419,24.50720989,29.8230013,34.78262039,0.607261846
39.88824038,24.57592635,29.91550781,34.56850616,0.538768076
40.02193484,24.38422217,29.81839193,34.35038754,0.020126843
39.9541975,24.39576816,29.97207031,34.60417826,0.60598673
40.02789858,24.28361435,29.97619141,34.01708164,0.595804548
39.76709646,24.47048651,29.89084635,33.05320887,0.040322442
40.02629638,24.1456728,30.00632812,33.27352769,0.10201559
40.00537881,24.0931309,30.0016862,33.0953833,0.05100467
40.00911727,24.03499402,30.03873047,32.39981429,0.119085903
39.92046235,24.05564457,30.02636719,32.56634982,0.058211579
40.00867221,23.93169045,29.94809245,32.91600615,0.124823928
39.82219425,24.03626561,29.80673177,32.9195207,0.077450841
40.01249968,23.78662801,29.82747396,33.61491723,0.159714622
39.98116782,23.77320007,29.69173828,33.29715727,0.045266644
39.99923705,23.70122835,29.50792318,32.65413132,0.11512929
39.93603927,23.68678314,29.42039062,32.70003835,0.200387096
39.86296127,23.70275425,29.31039714,32.6730422,0.293395611
39.77341624,23.71709773,29.23483073,32.82181326,0.390116966
39.69642176,23.72009868,29.15091146,32.90851134,0.477368704
39.61916025,23.73551029,29.03166016,33.02233613,0.561938947
39.54866356,23.73362834,28.94391276,33.11139261,0.636583281
39.47727677,23.74659851,28.80804688,33.15953023,0.702464313
39.38123395,23.75890745,28.69773437,33.10286249,0.759169504
39.34260319,23.7202004,28.76917969,33.15031916,0.814555825
39.31848122,23.669337,28.65011719,33.34259807,0.862147682
39.25145597,23.67330434,28.58534505,33.35697937,0.903620229
39.17188017,23.69370057,28.44366536,33.45337964,0.351207154
39.10129447,23.68988581,28.37222005,33.57388357,0.015301401
39.1031637,23.60296025,28.30313802,33.58387141,0.754175297
39.08918898,23.55738664,28.20924479,33.69187523,0.005800531
38.99074286,23.58149589,28.11227865,33.86264826,0.013476234
38.81610335,23.67081203,27.98606771,34.03975423,0.034034366
38.70181328,23.72004781,27.87571615,34.1119126,0.056986467
38.59437705,23.74959945,27.75285807,34.15969662,0.005394244
38.49468477,23.779558,27.67097656,34.33315936,0.012194866
38.38493426,23.83128608,27.54416016,34.39601362,0.01463884
38.30660461,23.83784746,27.45697266,34.5162909,0.008807056
38.20219476,23.87279062,27.39822266,34.55789619,0.022945851
38.11086951,23.89659469,27.28855469,34.65716162,0.032915514
38.04455634,23.90681824,27.21216797,34.7174183,0.024389733
38.07437502,23.80972,27.21901693,34.81247536,0.000843827
37.98322779,23.84384934,27.28959635,34.79884135,0.015032626
37.97405966,23.77681137,27.26048177,34.98153813,0.006213069
38.03948272,23.6572315,27.41654948,34.93465309,0.004644175
38.1196816,23.526716,27.46127604,35.0338457,0.002025185
38.11327281,23.47544569,27.58753255,35.12108432,0.014026284
38.13410137,23.40678009,27.60825521,35.29159017,0.051504715
38.18012004,23.31446301,27.7302474,35.55097456,0.102609394
38.23210244,23.23008062,27.82719401,35.54706397,0.164271289
38.22453651,23.19584955,27.70646484,36.02572596,0.230002307
38.26396836,23.12097861,27.83731771,35.95989635,0.300252489
38.2683299,23.08242415,27.73776042,36.02203089,0.367664911
38.28995956,23.03003484,27.96015625,35.72381318,0.430501914
38.36214745,22.93044429,28.00248047,35.77522385,0.492007545
38.4510694,22.81900257,28.20223958,35.86049669,0.546912571
38.56722871,22.69184405,28.23154948,35.53239832,0.599229861
38.68045065,22.55731034,28.36570964,34.89144335,0.647309263
38.79901325,22.42292922,28.48032552,34.23031609,0.690188189
38.91303629,22.27588312,28.69632812,34.32603879,0.725535175
39.03907581,22.15462476,28.76747396,34.08915483,0.188223482
39.13173622,22.04954096,28.67942057,33.61741889,0.231589953
39.22279444,21.93443707,28.94942057,33.37451404,0.280094393
39.31029221,21.8231988,28.93485026,33.27401906,0.328142542
39.40580097,21.70997686,29.10120443,33.21231391,0.378515904
39.52738994,21.57422243,29.22884766,33.05208331,0.434239756
39.6447954,21.45581242,29.45760417,32.78620011,0.477937506
39.78712393,21.30042471,29.40289714,31.42676374,0.525635623
39.9201063,21.13282979,29.37514323,30.24467117,0.56459544
40.01321177,21.01818367,29.79509115,30.05065866,0.601311302
40.02264693,20.97276265,29.96403646,30.40147909,0.631301547
40.01614913,20.95440096,30.1158138,31.14846774,0.663779521
40.00965133,20.92749421,30.05690104,31.28416049,0.689750649
39.92918542,20.9735256,30.17630859,30.68439991,0.715865539
40.01561507,20.87800412,30.25188151,30.65482563,0.737748793
39.93149971,20.90979375,30.31799479,29.74471078,0.088608112
40.02309199,20.80069174,30.41098958,29.42012848,0.112341535
39.90969202,20.86086315,30.41013672,29.82326197,0.146375901
40.01677221,20.74703085,30.46947917,29.01341394,0.17115942
39.91218433,20.78675517,30.51448568,28.9155236,0.207694015
40.02772056,20.66941329,30.53471354,28.52670322,0.232558791
39.90452939,20.72465095,30.52889974,28.77152428,0.267843272
40.02505023,20.58564126,30.49360026,28.89810664,0.293014326
39.91823707,20.62846825,30.59501953,28.89099532,0.328611335
40.03021286,20.50837975,30.61401693,28.89838662,0.351500931
39.90524147,20.57750312,30.57551432,29.43576571,0.383428854
40.02869968,20.45064978,30.54791667,29.42601952,0.40523085
39.89767554,20.53472699,30.49325521,29.36913126,0.435321105
40.02745352,20.39536126,30.44340495,30.266021,0.455060412
39.87408764,20.49937692,30.39164063,30.34860841,0.481481581
40.0207777,20.36011292,30.36749349,30.02115744,0.501502164
39.85975687,20.46122937,30.26886719,30.24011842,0.526348189
40.01196562,20.30609598,30.23042318,30.16456816,0.546468781
39.82548765,20.43681493,30.06201823,30.08708712,0.565295504
40.01570408,20.24724702,30.00889323,30.23786707,0.585472352
39.83981842,20.36474149,29.77865234,30.28366739,0.604511595
40.01828539,20.179853,29.75295573,30.28298073,0.62673863
39.96657003,20.20080873,29.61670573,30.32408108,0.643858947
40.01792935,20.12308944,29.61775391,30.50108643,0.6635545
40.00181837,20.10986496,29.61945964,30.51350123,0.679124676
39.98134585,20.10304926,29.56535807,31.20017496,0.695319908
39.95161618,20.10167595,29.45364583,31.09653248,0.711702658
39.89589532,20.13122759,29.39192708,31.15068339,0.724003785
39.82557666,20.17146054,29.29082682,31.26128441,0.738536365
39.74279647,20.19684138,29.18460937,31.44556597,0.752675159
39.6699855,20.23737952,29.07450521,31.65656952,0.764338727
39.58720531,20.2756288,29.00214844,31.79195994,0.772726995
39.50006358,20.3348338,28.89113281,32.04911753,0.783459228
39.42725261,20.3744564,28.7915625,32.30197127,0.794754012
39.34910099,20.41916533,28.71260417,32.81169143,0.802617232
39.27593398,20.4622975,28.66828776,33.07829909,0.812155605
39.19822741,20.51112637,28.57492187,33.63411802,0.820987664
39.13547468,20.55720862,28.51233724,34.06565587,0.828357088
39.08278019,20.59377941,28.48447266,34.48699947,0.172559548
39.0551868,20.62109305,28.28263672,36.06070015,0.004512913
38.87022202,20.77007197,28.00231771,36.96850375,0.013226211
38.7084891,20.92337428,27.96925781,37.48023032,0.028327593
38.65472648,20.98629231,27.98349609,37.59302077,0.069893899
38.66852318,21.00536609,28.08250651,37.53760759,0.097490175
38.68721548,21.00724804,28.17535807,37.79869276,0.128836795
38.72451108,21.00511177,28.2046224,37.72357316,0.159352089
38.7864627,20.96391241,28.42207031,37.51128305,0.189211073
38.80862643,20.97301696,28.29888021,37.79637954,0.217957455
38.91134508,20.92220442,28.5351237,37.41479926,0.247078871
38.9626154,20.90689453,28.51423828,37.10530857,0.278156716
39.02047252,20.88919407,28.71347656,36.7966851,0.304727899
39.11571425,20.83782203,28.78510417,36.77726405,0.331249077
39.21540653,20.78121106,28.85349609,36.5952442,0.359282893
39.37865263,20.66315709,28.90742839,36.82101759,0.001081349
39.41915262,20.66122428,29.073125,37.9556703,0.004131628
39.49890644,20.63035019,29.13511068,37.12909525,0.011538556
39.57883828,20.59138883,29.30401693,36.1144731,0.024233469
39.67096462,20.53523562,29.41489583,36.18276828,0.040241184
39.76852064,20.4757763,29.59172526,35.81412562,0.05821783
39.8794283,20.41255309,29.55215495,35.91388743,0.078088399
39.97618321,20.36072328,29.62341146,35.4498347,0.097296408
40.00991836,20.35614557,29.66419271,35.26775809,0.118635861
36.74953587,24.48706798,28.16218099,37.47474468,0.146494662
39.14633402,22.02487221,29.80416667,34.74031457,0.187579673
40.03181506,21.18537168,30.40296875,33.96125354,0.032859258
40.04036011,21.17474123,30.7550651,33.64958562,0.048416933
40.0516645,21.1575494,30.94932292,33.58580482,0.066762362
40.0459678,21.17733527,30.98105469,33.55604131,0.085126544
40.04409857,21.18684672,31.04973958,33.42566333,0.106078462
40.03368429,21.19946085,31.05934245,33.64569599,0.125736512
40.05184253,21.19727372,31.09446615,33.83779056,0.147375993
40.05709417,21.2163475,31.08182292,33.80949053,0.167940375
40.04481066,21.24773022,31.10336589,33.55306344,0.1895111
40.05255461,21.2423387,31.06912109,33.33117024,0.211531866
40.04098319,21.26914371,31.0588151,33.17485422,0.232827566
40.04454363,21.28109662,30.99919922,33.19340662,0.255554647
40.04748099,21.28603037,30.98842448,33.19499175,0.279263067
40.04988429,21.29355815,30.93529297,33.37930941,0.299814949
40.05380077,21.30245925,30.9111263,33.33607911,0.319973044
40.03564253,21.30134025,30.83969401,33.51719265,0.339837363
40.04454363,21.3083594,30.77033203,33.92389486,0.360795532
40.04587879,21.30749472,30.74904948,33.38682879,0.381822457
40.03475242,21.32509346,30.70567708,33.52265079,0.39900528
40.04400956,21.32784009,30.66889974,33.8442341,0.417663238
40.03831286,21.34538796,30.64917318,34.47904874,0.436071174
40.02905572,21.37280334,30.52426432,35.45400671,0.453804047
40.02923374,21.39152107,30.48180339,35.77093801,0.471518169
40.02789858,21.41868213,30.42333984,36.08148238,0.488432217
40.0377788,21.44080771,30.35192708,36.49349689,0.50527751
40.02683045,21.46954554,30.0855013,37.34714912,0.522166556
40.0337733,21.51079576,30.06100911,37.63393511,0.539205616
40.02148979,21.55265634,29.98370443,38.07311642,0.554732037
40.0174843,21.59451692,29.78171875,38.74417571,0.571789849
40.02095572,21.62310216,29.69211589,38.99951081,0.586797473
40.01249968,21.6744742,29.74076823,38.840346,0.603905289
40.02602935,21.70661987,29.68217448,38.79780289,0.616600201
39.98900079,21.79288421,29.58145182,38.88650682,0.638520958
40.0174843,21.78850996,29.56432943,38.87549008,0.647015486
39.80421403,22.03896137,29.52113281,39.3991682,0.661835593
40.00297551,21.90391903,29.4164388,40.01540765,0.671498978
39.90292719,22.04735383,29.37087891,40.32013309,0.683300058
40.01837441,21.9874876,29.3734375,40.2720237,0.696876301
39.95081509,22.10513466,29.33505208,40.50851611,0.708352352
39.99621068,22.11403576,29.29029948,40.72841145,0.721778581
39.98819969,22.18254877,29.2969987,40.80452388,0.734135962
39.98277002,22.25731797,29.27065755,40.96827217,0.746118309
39.96888431,22.32359299,29.28552734,41.12807804,0.757013057
39.95793596,22.39368276,29.28775391,41.05858173,0.767507767
39.96496783,22.45070064,29.22009115,41.29841514,0.779208839
39.88672719,22.57312886,29.13117839,42.08640327,0.787397088
39.85414918,22.6719056,29.20280599,41.85536437,0.797010468
39.84738435,22.72231123,29.19335938,42.10732084,0.80674886
39.8559294,22.78502581,29.22061849,41.96999437,0.816512254
39.90915796,22.79316396,29.25265625,42.23700477,0.826325652
39.93025355,22.84097556,29.18804687,42.1409686,0.835157711
39.87497775,22.95602859,29.11145833,42.13714247,0.842814662
39.8681239,23.02978052,29.26380859,41.76687208,0.85055287
39.93105465,23.00968948,29.34894531,41.42939505,0.858866132
39.990692,23.02108288,29.48788411,41.39959889,0.867510673
40.01463595,23.04173342,29.65496745,40.99786481,0.873636234
39.95455355,23.1404593,29.50603516,40.69359828,0.879180491
40.0256733,23.11350169,29.48360677,40.9351417,0.885943611
39.99095903,23.21360087,29.75348958,40.73954722,0.891437864
40.01561507,23.21502505,29.86192708,40.36545911,0.894431888
39.92242059,23.37046362,30.01661458,39.56813442,0.115516826
40.02416012,23.29716945,30.06632812,39.41281408,0.139825301
39.95099311,23.41512169,30.14580078,39.30257811,0.0961213
40.02834363,23.37488874,30.18552734,39.37144403,0.115704343
39.95072608,23.50616719,30.26576172,39.29455464,0.146150881
40.0199766,23.45784695,30.32690104,39.24818612,0.166221468
39.99167112,23.53571883,30.43245443,39.16385782,0.199518266
40.02460517,23.54441647,30.47272786,39.10018697,0.219013801
40.02816561,23.57946136,30.56799479,38.88240544,0.253354445
40.04356451,23.61282775,30.58424479,38.79383338,0.27121233
40.04392055,23.67706823,30.63700521,38.7049836,0.305215443
40.03154803,23.71628392,30.61007812,39.65783807,0.322035733
40.02691946,23.80671906,30.54928385,41.70098749,0.354844987
40.04329747,23.84089927,30.54860677,41.8698087,0.371146479
40.0215788,23.95229012,30.53369792,41.74528869,0.402111814
40.03252715,23.98148572,30.48384115,41.74312947,0.417056933
39.97493706,24.12497139,30.45009766,41.52067023,0.446334613
40.01383485,24.11739274,30.4303776,41.66097209,0.461054711
39.94814476,24.26581216,30.3704362,41.03445934,0.487688399
40.02602935,24.22654561,30.38870443,40.9704263,0.502039713
39.94707663,24.35685766,30.35708984,40.3924604,0.528354622
40.03448539,24.29185423,30.30718099,40.31530773,0.540962027
39.94307113,24.44388495,30.28490234,40.14168152,0.563582848
40.02140078,24.38381526,30.24739583,40.07664677,0.575890224
39.90604257,24.53879606,30.19615885,39.92889971,0.597067163
40.03902495,24.44439358,30.15851562,39.82213149,0.610399634
39.9111162,24.59983215,30.09747396,39.66435515,0.629188854
40.01855243,24.50481931,30.08292318,39.5571157,0.641227456
39.86981511,24.66478472,30.01815104,39.52755635,0.657835227
40.01944254,24.53808398,29.91554036,39.6992165,0.669680061
39.86331731,24.70817121,29.83878255,39.70364247,0.684400159
40.01864144,24.57333232,29.74711589,39.89893209,0.696732538
39.85227995,24.74408077,29.58263672,40.01799193,0.709227432
40.02264693,24.59342336,29.5639974,40.02135388,0.722084859
39.89509422,24.72734671,29.57153646,39.95294094,0.733498404
40.01472496,24.62958724,29.4191862,40.26821233,0.745824532
39.87515577,24.77709112,29.32477865,40.76963729,0.755469165
40.01614913,24.65791816,29.30180339,40.88706359,0.768395349
39.96425574,24.71513949,29.20742188,41.23944916,0.777133649
39.9979909,24.70201673,29.30198568,41.15142629,0.787684615
39.92865136,24.79092597,29.19745443,41.2559946,0.796560427
39.97796343,24.7477938,29.26022786,41.1666334,0.806236313
39.95936014,24.78426286,29.21270833,41.20558136,0.814768344
39.93354696,24.84041606,29.2105013,41.28031808,0.823012849
39.90684367,24.86640726,29.11266927,41.50409735,0.831557381
39.87907225,24.90170647,29.12192708,41.43561291,0.838445512
39.84569314,24.94931462,29.11096354,41.54553906,0.843208448
39.8055492,25.01248697,29.03352214,41.80596963,0.849746547
39.77973602,25.05597518,28.96690755,42.01535716,0.855597082
39.74119427,25.11014471,28.95044922,42.24401187,0.861278852
39.68404924,25.18649068,28.95283854,42.49679169,0.866335565
39.66001628,25.23277638,28.80341797,42.88533098,0.872148598
39.63001958,25.28216475,28.85740234,42.70611731,0.87599895
39.59806465,25.32316065,28.90310547,42.65511804,0.880311845
39.57056026,25.3707688,28.89353516,42.78417738,0.884799756
39.55320312,25.42432797,28.85723307,42.81906156,0.889718956
39.52970423,25.44579232,28.80821615,42.91197073,0.89358806
39.5181328,25.4836347,28.75274089,43.96020168,0.896950868
39.49792732,25.54426388,28.69087891,44.47377277,0.900369931
39.47629765,25.61999949,28.66332031,46.13007837,0.903463965
39.42155591,25.71587701,28.61977214,47.04851184,0.906601752
39.3280944,25.85626001,28.51559896,47.99735816,0.908458172
39.21131202,26.02828005,28.37926432,48.29855087,0.910270838
39.14793622,26.13783983,28.37429036,47.76765425,0.912221016
39.13324941,26.18804201,28.35490885,47.45835758,0.915221291
39.12256809,26.26148877,28.34102214,47.22193952,0.918759115
39.11526919,26.29917856,28.33039063,47.08242445,0.921246843
39.12657359,26.31179268,28.37977214,46.80770573,0.92394709
39.15256479,26.3198291,28.40233073,46.4035805,0.926984868
39.16217797,26.37145546,28.42875,46.93184514,0.929460095
39.11971974,26.45588871,28.29783854,47.9177722,0.931072742
39.09079118,26.52892856,28.36674479,47.86258488,0.932766647
39.07592635,26.58574299,28.31874349,47.68311675,0.934516808
