In_Temperature,In_Humidity,Out_Temperature,Out_Humidity,SB-51-00
35.22477811,28.92830803,30.90582031,40.14899067,3.420075617
35.21534295,29.00170392,30.82921224,40.54037976,3.421231973
35.22629129,29.04692149,30.73998698,41.46083209,3.422044548
35.22406602,29.11889321,30.60341146,42.1981181,3.42273211
35.21632207,29.18140434,30.33734375,42.68576058,3.424276002
35.2189924,29.23852394,30.21878255,42.97131162,3.425401105
35.20225834,29.32611073,30.10022786,43.12178459,3.426832486
35.20323746,29.37687241,29.94365234,43.39593598,3.427832577
35.21213855,29.4206658,29.81511719,43.46006847,3.428882674
35.19834185,29.49233234,29.65787109,43.57211199,3.430364059
35.18908471,29.55886168,29.59531901,43.50018689,3.431801691
35.19050889,29.60306198,29.52591797,43.41056268,3.432583012
35.18988581,29.63413952,29.34809896,43.49108137,3.434139405
35.18285395,29.67940795,29.34176432,43.20583906,3.435227004
35.15125505,29.75199003,29.24426432,43.13154218,3.436395861
35.17350779,29.75448234,29.14662109,43.10878698,3.438289785
35.17689021,29.78449175,29.09912109,42.99154852,3.43954615
35.15508253,29.82314794,29.00166016,43.04854911,3.440702506
35.15917703,29.8465451,28.88139974,43.19971972,3.44194637
35.14555835,29.88749015,28.74759766,43.32894169,3.442677687
35.16665395,29.87614761,28.73729818,43.3535742,3.443546516
35.14244297,29.9235523,28.67666016,43.41701808,3.444546608
35.13550011,29.94567788,28.63348307,43.57337706,3.445540449
35.1411078,29.9448132,28.56856771,43.61172238,3.446159255
35.14609242,29.96139467,28.56203776,43.70916464,3.447221853
35.12303858,30.0134788,28.50599609,43.84787211,3.447346864
35.14101879,30.01571679,28.41570964,44.12400317,3.447546882
35.15232319,30.01734442,28.37459635,44.15344982,3.445627957
35.13995066,30.0546273,28.36899089,44.11360146,3.447028085
35.15739681,30.05279622,28.40013021,44.15245844,3.444565359
37.59175759,27.16802726,28.5740625,43.90110288,3.435189501
39.04966812,25.68459602,28.75,43.57319093,3.431507914
39.44808118,25.30195061,28.66313802,44.14186531,3.42862015
39.56913609,25.20113934,28.55691406,44.11131199,3.426301187
39.59299102,25.19625645,28.51115885,44.1711773,3.42469479
39.59414817,25.21904326,28.5433724,44.17801913,3.423438425
39.53184049,25.30291702,28.47330078,44.61334812,3.422988384
39.54154269,25.33562219,28.51098307,44.49561132,3.42240083
39.58088553,25.31527682,28.52776042,44.15363182,3.421438242
39.50033061,25.40230411,28.55125651,43.45626869,3.421519499
39.39431856,25.51186389,28.37751953,43.0348988,3.422563345
39.27807024,25.62381425,28.27628255,42.38995906,3.423125897
39.37331197,25.52849622,28.6079362,41.94194281,3.422719609
39.5246306,25.36222375,28.92249349,41.08277164,3.422269568
39.65325144,25.22250197,28.99361328,40.34964584,3.422138306
39.75160856,25.10627909,29.07276693,39.6355568,3.422094552
39.69419649,25.14549477,28.73885417,38.18471329,3.408099521
39.71680527,25.08547595,29.12141927,38.1903969,3.408368295
39.78961624,24.98252842,29.22490885,37.34563765,3.408587065
39.87907225,24.8648305,29.35307292,37.09486747,3.408112022
39.96078431,24.75374482,29.38455729,36.8134254,3.408843339
40.00475573,24.67566949,29.57788411,36.51087926,3.409018355
39.98054475,24.65379822,29.53826172,35.44719256,3.409930939
40.01828539,24.58253859,29.66302083,35.07910654,3.410068451
39.94556344,24.59657689,29.75757161,35.52320215,3.409755922
40.00849419,24.50720989,29.8230013,34.78262039,3.409355886
39.88824038,24.57592635,29.91550781,34.56850616,3.410093453
40.02193484,24.38422217,29.81839193,34.35038754,3.419681831
39.9541975,24.39576816,29.97207031,34.60417826,3.408549562
40.02789858,24.28361435,29.97619141,34.01708164,3.408718327
39.76709646,24.47048651,29.89084635,33.05320887,3.420463153
40.02629638,24.1456728,30.00632812,33.27352769,3.421288228
