Ch,Med1,Med2,Med3,Med4,Med5,Med6,Med7,Med8,Med9,Med10
0,28.68,28.83,28.96,29.08,29.18,29.35,29.42,29.55,29.66,29.77,
0,35.24,34.97,34.74,34.60,34.44,34.29,34.02,33.83,33.92,33.82,
0,1.85706,1.85387,1.85106,1.84824,1.84599,1.84356,1.84093,1.83831,1.83568,1.83324,
1,2.34476,2.32001,2.29863,2.27838,2.26394,2.24876,2.23151,2.21482,2.20225,2.18819,
2,1.51880,1.51467,1.51205,1.50998,1.50980,1.50886,1.50698,1.50548,1.50548,1.50455,
3,1.09616,1.09203,1.08941,1.08847,1.09110,1.09278,1.09072,1.08866,1.08997,1.08941,
0,4.61264,4.61245,4.61227,4.61264,4.61245,4.61264,4.61245,4.61245,4.61264,4.61227,
1,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,0.00488,
2,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,0.00469,
3,2.51183,2.51314,2.51314,2.51183,2.50864,2.50676,2.50770,2.50545,2.50283,2.50339,
0,0.82428,0.82353,0.82315,0.82296,0.82315,0.82296,0.82240,0.82259,0.82259,0.82184,
1,0.08269,0.08156,0.08063,0.07969,0.07875,0.07800,0.07706,0.07631,0.07556,0.07481,
2,0.59777,0.59458,0.59121,0.58802,0.58483,0.58183,0.57939,0.57621,0.57339,0.57114,
3,1.35679,1.35529,1.35398,1.35304,1.35229,1.35135,1.35004,1.34948,1.34854,1.34723,
