date,time,Temperatura,Humedad,SP3S-AQ2-01,TGS832-A00,TGS822,SP-11-00,NA,SK25F,NA,SB-51-00,SP-19-01,SP-31-00,TGS2602-B00,TGS2620-C

28/10/2020,11:20:37,33.648750031789625,24.042979578342358,1.4670405615748512,2.6284656432168476,0.9204217671295588,3.182878901266596,4.895635708835647,0.0048191912101327615,-0.00033128032962002137,2.6427544513963075,3.558769565084694,0.06382459331603846,1.2588590019838242,0.9844026247520219
28/10/2020,11:40:37,36.106520688690516,22.0902316828158,1.6048969327025793,3.2912450724858844,1.026756502365329,1.932145643216847,4.896792064703191,0.004812940637875782,-0.0003000274683351137,2.5882244590264,2.5522774179764993,0.0852328032962002,1.4648341095681368,1.037926274988555
28/10/2020,12:02:35,36.87174792095827,22.169426006459652,1.9058932397375246,1.9901634549061498,1.2126422707157027,1.1844209369754313,4.89919228444987,0.0045754188921104865,-0.00031252861284907673,2.8667812116587816,1.6080847245536398,0.06716239890126662,0.8547970090035097,1.106351289485732
28/10/2020,12:22:35,40.20057984283208,20.250400549324787,1.8706275110636355,1.847256621394781,1.1668818312223408,1.0506711918205403,4.89898601556539,0.004719182054021058,-0.0003250297573630398,2.8788885701205555,1.2588590019838242,0.060730560048832594,0.8508841507706396,1.0913061620631772
28/10/2020,12:42:35,42.69511202665244,18.665954578978152,1.877359377384404,1.9172567801007172,1.1704134045475354,0.9743767068518235,4.898729742102852,0.004825441782389745,-0.0003312803296200213,2.8505234732183737,1.0228498947047155,0.06094307950556997,0.8897752113535785,1.0916811963985962
28/10/2020,13:02:35,43.370260166323334,17.9544263879352,1.8863727025789714,1.9983579551350532,1.1793079688692203,0.9101270746223106,4.8988297512589645,0.004919200366244467,-0.00026877460705020605,2.8275713718907367,0.826731939569663,0.06118060125133527,0.9092269922173049,1.0879308530444074
28/10/2020,13:22:35,42.768546069530274,18.063782711528187,1.886635226613765,2.0384303738745615,1.178964187395086,0.8620101693880664,4.898560976651914,0.005000457805585227,-0.0002937768960781321,2.8159265557759805,0.6728115977414925,0.060843070349458246,0.9017013032198993,1.0821928277124984
28/10/2020,13:42:35,42.08574298720785,18.48004882887007,1.9314393285518083,2.0904788890584465,1.255958736456585,0.8313761147566,4.8985109720738595,0.0050192095223561715,-0.0002625240347932245,2.7446137768960788,0.5749651396307036,0.06378083931023958,0.8909128155043492,1.1123268365634058
28/10/2020,14:05:35,43.216271203682496,17.741613895882605,1.7937954768808175,1.6214671997558372,1.1455861315428044,0.8196937952083014,4.899411054478864,0.004837942926903706,-0.00026877460705020605,2.816426601556539,0.36432085457042584,0.0485106912864337,0.8038298428200826,1.06469122539295
28/10/2020,14:25:35,40.811640090536876,19.193052058696367,1.7600736395544019,1.5264147474439187,1.126534387303525,0.7871408148939417,4.900129870288419,0.004687929192736151,-0.00027502517930718756,2.83087792461468,0.26297407599572714,0.04550416603082559,0.7484810254845108,1.0620847367617885
28/10/2020,14:45:35,39.070941735968056,20.18931359833168,1.7269643583091716,1.4504265405157946,1.097950520372349,0.7586132031130778,4.900242380589043,0.004619172897909357,-0.0003187791851060583,2.865818623531207,0.2101504898519762,0.04314770028994356,0.6996328032962003,1.0470521104837478
28/10/2020,15:05:35,33.051397472088716,25.001500470486512,1.722126415382268,1.3736070074774918,1.1071951167404246,0.7219723485426521,4.90099244925988,0.004344147718602166,-0.0002875263238211506,2.873763100869831,0.18648582328704416,0.04176632382115062,0.6301076880817946,1.055465380741645
28/10/2020,15:27:23,32.15194171053635,26.045827929096415,1.6965490737066993,1.311926360445598,1.079523833358767,0.7164343415229666,4.901323729589499,0.004137878834121777,-0.00031252861284907673,2.8963276667175335,0.16476508469403323,0.03963487868151992,0.6181003387761331,1.0520400671448191
28/10/2020,15:49:37,32.110017547875174,26.158490374100356,1.670640451701511,1.2831049717686553,1.0680290309781781,0.7148029421638944,4.901580003052036,0.003950361666412333,-0.00031252861284907673,2.903328307645353,0.14973245841599273,0.038372263085609655,0.6005362307340151,1.0524651060582937
28/10/2020,16:08:41,32.120075786475425,26.157422242567577,1.6711154951930414,1.2907494216389443,1.0655850572256982,0.7083773538837174,4.901573752479779,0.003912858232870443,-0.00029377689607813215,2.9043596520677557,0.14296308866168167,0.03840351594689455,0.610730914085152,1.0527526323821152
28/10/2020,16:29:33,32.068805472902525,26.24739960835177,1.6654837295895009,1.2926433450328092,1.064634970242637,0.7057458629635279,4.901880030520373,0.003762844498702883,-0.00028752632382115053,2.9040596245994204,0.13821265374637565,0.03829725621852589,0.6093995421944148,1.0538589836716006
28/10/2020,16:49:33,32.07298898807254,26.309605554283973,1.6882733160384553,1.3184144544483445,1.0936001220814893,0.7032268823439647,4.9016050053410645,0.0037503433541889184,-0.00028127575156416913,2.877500943079505,0.1382439066076606,0.03939110636349763,0.6095683076453533,1.0688291042270717
28/10/2020,17:10:57,32.081801073217875,26.572060730907147,1.6661462902487412,1.3024192400427288,1.0730169876392495,0.7052270654661988,4.902286317717075,0.00362533190904929,-0.000281275751564169,2.8923648039066077,0.13316844193499164,0.03869729284297268,0.6069305661529072,1.0641849290401344
28/10/2020,17:32:16,32.06551206734314,26.622415503166245,1.6527638150465436,1.2958186357393562,1.0627973019990844,0.7050145460094613,4.902217561422249,0.003556575614222494,-0.00030002746833511366,2.8940149549824503,0.12960561574851212,0.038259752784983996,0.6080619197314208,1.062728545704258
