,,48,48,48,48,49,49,49,49,4B,4B,4B,4B
,,0,1,2,3,0,1,2,3,0,1,2,3
Temperatura,Humedad,SP3S-AQ2-01,TGS832-A00,TGS822,4 ó 1,NA,SK25F,NA,SB-51-00,4 ó 1,SP-31-00,TGS2602-B00,TGS2620-C00
23.56870374608988,31.04600595101854,610,823,6,179,26040,-1,-1,6128,27,13,3633,385
23.552681773098342,31.018539711604486,2602,4382,43,2391,26068,-1,-2,6703,278,136,12660,2400
23.552681773098342,31.074998092622263,5720,12845,185,8600,26085,-1,-2,7139,934,523,17568,5559
23.552681773098342,31.029221026932174,8913,23639,560,14733,26096,-1,-2,7483,1926,1250,19268,8347
23.53933012893873,31.08720531013962,12105,29215,2461,18279,26103,-1,-2,7768,3039,2255,19770,10305
23.552681773098342,31.08720531013962,14345,29154,4257,19974,26110,-1,-2,8010,4080,3376,19853,11575
23.53933012893873,31.12993057145037,15777,29134,5932,20620,26114,-1,-2,8221,4951,4412,19751,12371
23.58205539024948,31.198596169985503,16786,29093,7667,20781,26118,-1,-3,8408,5633,5224,19556,12862
23.56870374608988,31.157396810864423,17472,29093,9483,20620,26122,-2,-2,8572,6144,5765,19309,13156
